OBJECTID,Name,Address,Latitude,Longitude
1,South Side Market House,"49 S 12th St, Pittsburgh, PA 15203",40.42933273,-79.98691559
3,Sheraden Healthy Active Living Community Center,"720 Sherwood Ave, Pittsburgh, PA 15204",40.45513535,-80.05670929
4,Homewood Healthy Active Living Center,"7321 Frankstown Ave, Pittsburgh, PA 15208",40.45702744,-79.89279175
5,Greenfield Healthy Active Living Center,"745 Greenfield Ave, Pittsburgh, PA 15217",40.42430115,-79.93662262
6,Beechview Healthy Active Living Community Center,"1555 Broadway Ave Ste 101, Pittsburgh, PA 15216",40.41075897,-80.02433777
