OBJECTID,ST,STATE,ST_ABBR,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE,Shape_Length,Shape_Area
114,42,Pennsylvania,PA,15215,ZCTA5 15215,6.188431659,12647,595,5932,323,5428,286,1654,431,337,97,1154,284,425,114,390,129,2613,341,2915,386,1334,189,336,143,112,99,1961,930,401,123,18,24,92,56,600,125,158,6,13.3,3.4,5.4,1.5,21.3,5.1,4.7,1.3,3.1,1,20.7,2.6,23,2.6,10.7,1.7,6.2,2.6,0.9,0.8,15.5,7.3,6.7,2,0.3,0.4,1.7,1,11.1,2.3,1.2,0.1,0.3573,0.64,0.5638,0.2684,0.3431,2.1726,0.3643,0.5152,0.7441,0.2243,0.7642,0.7667,3.0145,0.8252,0.7645,0.7645,0.7645,0.8,0.2648,0.7708,0.8185,0.7413,3.3954,0.8624,9.347,0.7889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10608,450,141,562,281,277,124,794,334,2,5,0,18,301,105,25,27,8.3,2.5,4.4,2.2,2.2,1,6.3,2.6,0,0.1,0,0.2,2.4,0.8,0.2,0.2,0.21510376,0.001798163
115,42,Pennsylvania,PA,15216,ZCTA5 15216,3.436733671,22134,1138,11223,480,10164,418,3323,655,554,219,2018,383,717,178,794,254,3644,464,4412,606,3044,565,446,137,112,110,4149,1418,892,215,19,30,60,68,1095,231,64,51,15,2.9,4.2,1.6,19.9,3.7,4.4,1.1,3.6,1.1,16.5,2.1,19.9,2,13.8,2.4,4.4,1.3,0.5,0.5,18.7,6.3,7.9,1.9,0.2,0.3,0.6,0.7,10.8,2.2,0.3,0.2,0.4216,0.4958,0.4939,0.2441,0.4072,2.0626,0.3253,0.2592,0.5284,0.426,0.6004,0.6624,2.4764,0.5239,0.8042,0.8042,0.8042,0.8249,0.2443,0.52,0.8119,0.5847,2.9858,0.7192,8.329,0.6212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18224,1019,262,2142,736,760,319,321,211,24,29,0,21,656,308,246,323,10,2.5,9.7,3,3.4,1.4,1.5,1,0.1,0.1,0,0.1,3,1.4,1.1,1.5,0.228504948,0.000944306
116,42,Pennsylvania,PA,15217,ZCTA5 15217,3.868398409,26788,1408,12620,598,11722,671,4598,725,282,123,3425,498,446,330,878,359,5113,443,4979,586,2554,528,272,125,494,201,6696,2006,2753,363,0,21,114,83,2238,381,429,8,17.5,2.6,1.9,0.8,29.2,3.9,2.4,1.7,3.3,1.3,19.1,1.6,18.6,2,9.7,1.9,2.3,1.1,1.9,0.8,25,7.4,21.8,2.7,0,0.2,0.9,0.7,19.1,2.9,1.6,0.1,0.5269,0.2413,0.8491,0.1391,0.3702,2.1266,0.3487,0.4109,0.4225,0.1779,0.3418,0.8842,2.2373,0.3868,0.8627,0.8627,0.8627,0.9684,0,0.5993,0.9223,0.781,3.271,0.8246,8.4976,0.6563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,20633,1245,438,1296,545,1354,370,2675,552,39,34,0,21,1180,326,152,170,10.6,3.5,4.8,2,5.1,1.4,10,2,0.1,0.1,0,0.1,4.4,1.2,0.6,0.6,0.21348612,0.001089326
117,42,Pennsylvania,PA,15218,ZCTA5 15218,2.291947418,13697,272,7357,426,6732,374,2993,630,501,182,1803,373,157,99,692,327,2248,305,2486,452,1775,316,310,114,105,107,4431,636,690,225,0,18,85,83,852,262,45,6,21.9,4.6,5.7,2,26.8,5.3,1.5,1,5.1,2.4,16.4,2.2,18.1,3.3,13,2.4,4.7,1.7,0.8,0.8,32.4,4.6,9.4,3,0,0.4,1.3,1.2,12.7,3.6,0.3,0,0.6776,0.6739,0.7969,0.0999,0.5906,2.8389,0.6357,0.2554,0.39,0.3685,0.626,0.7441,2.384,0.4634,0.9101,0.9101,0.9101,0.862,0,0.692,0.8552,0.5847,2.9939,0.7231,9.1269,0.7577,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,8796,582,205,2927,504,476,176,433,214,8,13,0,18,547,214,40,29,8.6,2.9,21.4,3.7,3.5,1.3,3.2,1.6,0.1,0.1,0,0.2,4,1.6,0.3,0.2,0.156945319,0.000642967
118,42,Pennsylvania,PA,15219,ZCTA5 15219,2.200627345,10680,1017,6777,438,5440,403,4702,739,603,213,2227,301,572,157,550,204,1846,221,2354,503,1847,316,871,227,37,70,8314,1072,2622,335,18,30,92,63,2436,288,228,20,44.2,5.5,11.8,3.5,40.9,4.6,8.2,2.3,5.2,1.9,17.3,2.2,22,3.3,17.3,3.1,16,4,0.4,0.7,77.8,6.8,38.7,4.3,0.3,0.4,1.7,1.2,44.8,4.4,2.1,0.3,0.9573,0.9312,0.9512,0.5384,0.6006,3.9787,0.9521,0.305,0.6817,0.6652,0.9756,0.6172,3.2447,0.9179,0.9835,0.9835,0.9835,0.9873,0.2648,0.7708,0.9872,0.8224,3.8325,0.9745,12.0394,0.9799,1,1,1,0,0,3,0,0,0,1,0,1,1,1,1,0,0,1,0,2,7,51436,984,185,6834,791,419,172,519,198,0,18,13,18,464,189,65,40,18.1,3.3,64,4,3.9,1.6,4.9,1.8,0,0.3,0.1,0.2,4.3,1.7,0.6,0.4,0.308162535,0.00073123
119,42,Pennsylvania,PA,15220,ZCTA5 15220,4.72861243,18535,890,9737,531,9074,519,2248,542,237,104,1610,292,649,204,525,207,3306,315,3177,393,2279,437,409,169,292,193,5683,1180,2528,445,28,42,167,98,608,161,344,41,12.3,2.9,2.2,0.9,17.7,3.1,4.5,1.4,2.9,1.1,17.8,1.8,17.1,1.9,12.5,2.4,4.5,1.8,1.7,1.1,30.7,6.2,25.9,4.3,0.3,0.4,1.8,1.1,6.7,1.8,1.9,0.2,0.3163,0.2673,0.3857,0.2529,0.3199,1.5421,0.1632,0.3331,0.3249,0.3398,0.6088,0.8693,2.4759,0.5228,0.9002,0.9002,0.9002,0.9751,0.2648,0.7841,0.636,0.8081,3.4681,0.8885,8.3863,0.6301,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,21794,792,213,1137,318,225,164,3041,627,0,18,0,18,1106,426,174,209,8.7,2.4,6.1,1.7,1.2,0.9,16.4,3.2,0,0.2,0,0.2,6,2.2,0.9,1.1,0.393285249,0.001303049
120,42,Pennsylvania,PA,15221,ZCTA5 15221,6.210467658,29583,1117,17711,608,15044,572,8168,911,1208,249,4606,525,1173,276,1419,333,6343,502,5046,659,5689,615,1231,257,113,113,15441,1382,3189,422,63,53,83,63,3626,371,172,12,27.8,2.9,7.7,1.6,30.6,3.3,5.2,1.3,4.8,1.1,21.4,1.9,17.1,1.9,19.3,1.8,8.2,1.7,0.4,0.4,52.2,4.2,18,2.3,0.4,0.3,0.5,0.4,24.1,2.4,0.6,0,0.8139,0.8186,0.8685,0.3043,0.5558,3.3611,0.8323,0.5643,0.3249,0.7718,0.8724,0.6172,3.1506,0.8768,0.9608,0.9608,0.9608,0.9546,0.2781,0.4906,0.9467,0.6542,3.3242,0.8418,10.7967,0.9298,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,3,22799,2170,341,12570,1285,794,254,354,164,16,18,9,14,1479,462,219,188,14.4,2.2,42.5,3.3,2.7,0.9,1.2,0.6,0.1,0.1,0,0.1,5,1.6,0.7,0.6,0.296120365,0.001708613
121,42,Pennsylvania,PA,15222,ZCTA5 15222,0.885782467,5418,409,3660,306,2818,313,599,196,177,124,526,136,84,60,207,89,616,152,153,82,334,67,0,22,31,63,1455,563,3193,323,30,42,3,17,781,202,1405,23,14.6,4.6,4.7,3.2,18.7,4.4,2.3,1.6,3.8,1.6,11.4,2.8,2.8,1.4,6.2,1.3,0,0.8,0.6,1.2,26.9,10.2,87.3,5,0.8,1.2,0.1,0.6,27.7,6,25.9,2,0.4039,0.5613,0.4312,0.1336,0.4315,1.9615,0.2886,0.0987,0.059,0.0702,0,0.6873,0.9152,0.0322,0.8792,0.8792,0.8792,0.9978,0.3191,0.3923,0.9606,0.9779,3.6477,0.9351,7.4036,0.4568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,3,61851,139,103,521,136,143,53,609,252,0,16,0,16,182,73,0,16,4.9,3.6,9.6,2.6,2.6,1,11.2,4.3,0,0.6,0,0.6,3.4,1.3,0,0.6,0.135025097,0.000352714
123,42,Pennsylvania,PA,15224,ZCTA5 15224,1.526049622,10873,702,6392,332,5634,337,2462,380,415,122,1624,233,619,185,509,149,1756,203,1178,246,1612,214,152,68,167,112,3267,938,848,201,22,31,18,16,1203,215,307,7,23.3,3.2,5.7,1.6,28.8,3.8,7.1,2,4.8,1.3,16.2,1.8,10.8,1.9,15.2,2,2.7,1.2,1.6,1.1,30,8.4,13.2,3.1,0.3,0.5,0.3,0.3,21.4,3.5,2.8,0.2,0.7175,0.6739,0.843,0.4522,0.5558,3.2424,0.7944,0.2427,0.134,0.5249,0.3912,0.8599,2.1527,0.3541,0.8963,0.8963,0.8963,0.9163,0.2648,0.4312,0.9367,0.8549,3.4039,0.8657,9.6953,0.8323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,11371,572,117,2026,395,461,233,443,181,4,7,0,18,314,139,19,31,10.2,2.1,18.6,3.5,4.2,2.1,4.1,1.6,0,0.1,0,0.3,2.9,1.2,0.2,0.3,0.111222414,0.000420045
125,42,Pennsylvania,PA,15226,ZCTA5 15226,2.493232429,13673,1076,6912,447,6256,406,1898,356,505,254,1221,296,866,292,779,297,2813,376,2115,417,2383,517,292,124,196,146,1824,1517,543,169,39,46,136,131,724,228,125,29,13.9,2.4,6.8,3.3,19.5,4.6,8.1,2.6,5.7,2.3,20.6,2.7,15.5,2.4,17.5,3.5,4.7,2,1.5,1.1,13.3,11,7.9,2.4,0.6,0.7,2.2,2.1,11.6,3.7,0.9,0.2,0.3762,0.7698,0.4711,0.5312,0.6492,2.7975,0.6184,0.5074,0.2515,0.6801,0.626,0.8489,2.9139,0.788,0.7187,0.7187,0.7187,0.8249,0.303,0.8235,0.8307,0.7049,3.487,0.8951,9.9171,0.8618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9929,932,252,445,190,871,345,202,118,0,18,30,31,267,110,9,13,14.9,3.9,3.3,1.3,6.4,2.5,1.5,0.9,0,0.2,0.2,0.2,2,0.8,0.1,0.1,0.166480312,0.00068352
